,target
145,15.937152144217084
146,15.366415347372715
147,15.191219086342441
148,14.462935737724106
149,14.030029019904786
150,13.708754624719582
151,12.90197851739972
154,12.920714648267573
155,13.432152772242283
156,13.534270358688454
157,13.3117681224198
158,13.242947818790267
159,13.041055703331377
160,12.629577389870143
163,11.633291827628883
164,12.041828699634996
165,12.059027494866235
166,11.71638046248163
167,11.399879939569674
168,11.598837070766487
169,14.490736610098422
172,16.87829956990858
173,15.984566429760012
174,15.588302611010223
175,15.116268272326979
176,14.432216662182965
177,14.14393982213865
178,13.093797222325533
181,11.048569855589088
182,10.998493345610125
183,13.244513751229581
184,14.535546474454822
185,14.913526668953782
186,16.081355418866668
187,15.01228410974849
190,15.82570892897779
191,15.17303166072222
192,14.230260428949718
193,13.04605236495377
194,12.397481950038284
195,11.62169914913569
196,11.014077817963646
199,15.231040853675578
200,14.382956750957728
201,13.112458485518795
202,13.001873431369564
203,13.208575935423024
204,11.442578105149408
205,10.243275713968423
208,13.09282539494605
209,13.777398430103187
210,13.266268031236347
211,12.919147445574449
212,12.691838889454907
213,12.402510759881498
214,11.389638560778947
217,12.850932535458591
218,12.430567283715325
219,12.785244531776563
220,12.048301252156799
221,11.825031821332534
222,10.896572644989313
223,12.180216230984946
226,15.225074568522997
227,15.022989508569498
228,14.561207967638245
229,14.083172304425235
230,13.334779191763538
231,12.72328483172091
232,11.926623258004868
235,9.940301525658844
236,9.368796057668156
237,9.081028635495842
238,12.74232622121439
239,12.641128917815776
240,12.584851488375833
241,12.172267640917813
244,12.149862017693255
245,11.803735141365816
246,12.329325140829477
247,12.02997965090724
248,11.827546405777667
249,11.474797754272078
250,11.038737091885153
253,15.711216293270493
254,15.227935521661419
255,15.115235626179146
256,14.752635149937122
257,14.14181629036854
258,13.487318942174284
259,12.984116886152833
271,14.371657479189517
272,13.485330086611294
273,12.951480152751204
274,12.104122972994428
275,11.505578542307175
276,10.79400909251632
277,10.345091707260165
280,12.611614417366265
281,13.244788068336565
282,12.90504035390505
283,12.8230404793513
284,12.26936664256879
285,11.89938442850562
286,11.599488408095088
298,15.917482620500177
299,15.568137576810441
300,15.31602829332335
301,14.621571605663204
302,13.455379649052151
303,12.857879468076053
304,12.087351044559131
307,15.150495308774037
308,14.516131738472613
309,13.516194404614126
310,13.189253506343578
311,13.654094549437263
312,12.98108087957044
313,12.648290680721075
316,12.713076977451529
317,11.925213907759845
318,11.619607107555439
319,11.196953651344824
320,10.450191772337018
321,9.333177281935246
322,10.109769746774926
325,15.043032785102714
326,13.764461444288502
327,13.158116547110147
328,12.281713370988589
329,12.037298901281488
330,11.782280620729125
331,11.105303031508205
334,15.88646190976608
335,15.58874006970826
336,15.698112514431644
337,15.603219836230968
338,15.419661519068688
